saison,heure,bus,load_mode,alpha,P_pv_available,Q_pv_max,S_inv_max,P_hp_max,P_load,Q_load
Été,0,10,fixed,1.0,0.0,0.02656880744806888,0.08508828170924233,-0.003922949560276379,-0.2694462254126007,-0.1304987630324452
Été,0,11,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,12,fixed,1.0,0.0,0.010449535713498345,0.03346529723845626,-0.0015428995679420377,-0.1059734412551115,-0.05132528012558613
Été,0,13,fixed,1.0,0.0,0.017903596838709707,0.05733739816506357,-0.002643509968712832,-0.1815684275227013,-0.08793760298989377
Été,0,14,fixed,1.0,0.0,0.02540589940550759,0.08136399535123379,-0.003751243336610731,-0.2576526519455737,-0.1247868747073349
Été,0,15,fixed,1.0,0.0,0.009883346276536788,0.03165203985356435,-0.001459300309409156,-0.1002314595362871,-0.04854431145358464
Été,0,16,fixed,1.0,0.0,0.032719367579428116,0.1047858384832769,-0.004831094843422043,-0.3318218218637102,-0.1607086431961631
Été,0,17,fixed,1.0,0.0,0.0323749574029464,0.10368284316904287,-0.004780241836450449,-0.3283290033686358,-0.1590169939908121
Été,0,18,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,19,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,20,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,21,fixed,1.0,0.0,0.04024501879847234,0.12888721120100796,-0.005942275697069608,-0.4081428354698586,-0.1976725971492513
Été,0,22,fixed,1.0,0.0,0.02520532488576868,0.08072164280031112,-0.003721628017008962,-0.2556185355343185,-0.1238017071655505
Été,0,23,fixed,1.0,0.0,0.035693309601010276,0.1143100753920633,-0.0052702046743264485,-0.3619819054082004,-0.1753158383405161
Été,0,24,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,25,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,26,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,27,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,28,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,29,fixed,1.0,0.0,0.039438269817988855,0.12630354670442887,-0.00582315723213937,-0.3999612312306914,-0.1937100653631875
Été,0,30,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,31,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,32,fixed,1.0,0.0,0.03096887622343089,0.09917977950152491,-0.004572630502909235,-0.3140693017548289,-0.1521107052908534
Été,0,33,fixed,1.0,0.0,0.03888960929842265,0.12454642678315134,-0.005742146161236761,-0.3943970181466459,-0.1910151939705562
Été,0,34,fixed,1.0,0.0,0.011042116083812966,0.03536307325204857,-0.0016303955124889625,-0.1119830652981538,-0.05423587389139652
Été,0,35,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,36,fixed,1.0,0.0,0.009798881566513724,0.03138153629201084,-0.0014468288878863225,-0.099374864924701,-0.04812944374830847
Été,0,37,fixed,1.0,0.0,0.02638398772600381,0.08449638489162135,-0.0038956604751782726,-0.2675718854901343,-0.1295909787760147
Été,0,38,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,39,fixed,1.0,0.0,0.01449337438298186,0.04641594564705656,-0.002139982262048129,-0.1469838278823458,-0.07118751689710238
Été,0,40,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,41,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,42,fixed,1.0,0.0,0.02041789455374394,0.06538959518955918,-0.003014752190813936,-0.2070670514336041,-0.100287150192891
Été,0,43,fixed,1.0,0.0,0.03664474447366771,0.11735710558455155,-0.005410686365972505,-0.3716308343510799,-0.1799890279155623
Été,0,44,fixed,1.0,0.0,0.028309864959171635,0.09066412820766961,-0.0041800209704609135,-0.2871030726576204,-0.1390503644549536
Été,0,45,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,46,fixed,1.0,0.0,0.02840510863042345,0.09096915207245306,-0.004194083932036692,-0.288068981562768,-0.1395181754889763
Été,0,47,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,48,fixed,1.0,0.0,0.010043607678658535,0.03216528710252375,-0.0014829632983563118,-0.1018567424913252,-0.04933147191532575
Été,0,49,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,50,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,51,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,52,fixed,1.0,0.0,0.021764479059329652,0.06970211700599871,-0.0032135786945773344,-0.2207233705189959,-0.1069012073966653
Été,0,53,fixed,1.0,0.0,0.036090635982057966,0.11558253818916775,-0.005328870888640502,-0.3660113709323645,-0.1772673975645508
Été,0,54,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,55,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,56,fixed,1.0,0.0,0.03684217065580832,0.1179893753857308,-0.00543983682580889,-0.3736330220548142,-0.1809587316785154
